Línea,Patrón,Tipo,Contexto
107,que que,ALTO,"                    'opciones' => '{""opciones"": [""Tomo fotos del rayón y lo r..."
162,que que,ALTO,"                    'opciones' => '{""opciones"": [""Aviso al área de registros ..."
382,que que,ALTO,"                    'opciones' => '{""opciones"": [""La llevo a seguridad y llen..."
481,que que,ALTO,"                    'opciones' => '{""opciones"": [""Paro un momento y reporto e..."
1846,que que,ALTO,"                    'opciones' => '{""opciones"": [""Lo reporto y dejo que el qu..."
1857,que que,ALTO,"                    'opciones' => '{""opciones"": [""Salgo de la caja a alcanzar..."
1901,que que,ALTO,"                    'opciones' => '{""opciones"": [""Reporto el faltante real en..."
2565,que que,ALTO,"                    'opciones' => '{""opciones"": [""Digo que no el uso del botó..."
2741,que que,ALTO,"                    'opciones' => '{""opciones"": [""Lo amarro con lo que tenga ..."
2910,que que,ALTO,"                    'opciones' => '{""opciones"": [""Paro para cargar la batería..."
3262,que que,ALTO,"                    'opciones' => '{""opciones"": [""Checo el precio en el siste..."
3328,que que,ALTO,"                    'opciones' => '{""opciones"": [""Pongo señalización y seco e..."
3552,que que,ALTO,"                    'opciones' => '{""opciones"": [""Detengo la estiba en el lím..."
3618,que que,ALTO,"                    'opciones' => '{""opciones"": [""Le explico cómo acomodar bi..."
3728,que que,ALTO,"                    'opciones' => '{""opciones"": [""Le propongo al equipo que n..."
4293,que que,ALTO,"                    'opciones' => '{""opciones"": [""Le presto mi terminal y nos..."
52,de de,CRÍTICO,"                    'opciones' => '{""opciones"": [""Bajo la caja de la línea y ..."
183,de de,CRÍTICO,"                    'texto' => 'Un cliente te pide devolución sin recibo y dice ..."
184,de de,CRÍTICO,"                    'opciones' => '{""opciones"": [""Le explico que sin verifica..."
436,de de,CRÍTICO,"                    'texto' => 'Un proveedor me ofrece un regalo para que reciba..."
437,de de,CRÍTICO,"                    'opciones' => '{""opciones"": [""Mantengo el orden de llegad..."
448,de de,CRÍTICO,"                    'opciones' => '{""opciones"": [""Detengo la devolución, anot..."
470,de de,CRÍTICO,"                    'opciones' => '{""opciones"": [""No tomo nada y dejo que el ..."
649,de de,CRÍTICO,"                    'texto' => 'Estoy a punto de entregar un paquete con etiquet..."
650,de de,CRÍTICO,"                    'opciones' => '{""opciones"": [""Paro la entrega y verifico ..."
826,de de,CRÍTICO,"                    'opciones' => '{""opciones"": [""Lo detengo y le explico con..."
1067,de de,CRÍTICO,"                    'texto' => 'Cambian la política de devoluciones y ahora tien..."
1123,de de,CRÍTICO,"                    'opciones' => '{""opciones"": [""Acepto y le digo que al ini..."
1160,de de,CRÍTICO,"                    'opciones' => '{""opciones"": [""Ajusto mis horarios de desc..."
1170,de de,CRÍTICO,"                    'texto' => 'El nuevo supervisor cambió los horarios de desca..."
1369,de de,CRÍTICO,"                    'opciones' => '{""opciones"": [""Empiezo a anotar cada falla..."
1412,de de,CRÍTICO,"                    'texto' => 'Me mueven a un área nueva donde debo usar un sis..."
1424,de de,CRÍTICO,"                    'opciones' => '{""opciones"": [""Saco mis tareas con el mism..."
1467,de de,CRÍTICO,"                    'texto' => 'Debo aprender un proceso nuevo de devoluciones y..."
1468,de de,CRÍTICO,"                    'opciones' => '{""opciones"": [""Empiezo a procesar las devo..."
1611,de de,CRÍTICO,"                    'opciones' => '{""opciones"": [""Le ofrezco la promoción a c..."
1632,de de,CRÍTICO,"                    'texto' => 'Anuncian que habrá evaluaciones semanales de des..."
1713,de de,CRÍTICO,"                    'texto' => 'Meten una nueva regla donde debo decir una frase..."
2054,de de,CRÍTICO,"                    'texto' => 'Vamos súper atrasados en la ruta. Mi compañero s..."
2055,de de,CRÍTICO,"                    'opciones' => '{""opciones"": [""Me detengo a tomar el tiemp..."
2143,de de,CRÍTICO,"                    'opciones' => '{""opciones"": [""Me quedo los minutos adicio..."
2554,de de,CRÍTICO,"                    'opciones' => '{""opciones"": [""Rechazo participar en la re..."
2740,de de,CRÍTICO,"                    'texto' => 'Al estacionar la unidad en la zona de descarga, ..."
2954,de de,CRÍTICO,"                    'opciones' => '{""opciones"": [""Detengo la salida para revi..."
3250,de de,CRÍTICO,"                    'texto' => 'En el almacén, encuentro productos próximos a ve..."
